"service_category_id","service_category_name","service_category_code","service_category_desc","created_by","created_date","deleted","service_category_type_id","item_hide","inv_hide","allocated_by","version"
"1","Transport",NULL,"Transportations","1","2015-02-02","0","2","0","0","0","0"
"2","Accommodation",NULL,"Accommodation","1","2015-02-02","0","1","0","0","0","0"
"3","Entrance Fees",NULL,"Entrance Fees","1","2015-02-02","0","3","0","0","0","0"
"4","Meals",NULL,"Meals","1","2015-02-02","0","3","0","0","0","0"
"5","Ride Types",NULL,"Ride Types","1","2015-02-02","0","5","0","0","0","0"
"6","Driver / Vehicle & Guides",NULL,"Driver / Vehicle & Guides","1","2015-02-02","0","6","0","0","0","0"
"8","Additional Expenses",NULL,"Additional Expenses","1","2015-02-13","0","7","0","0","0","0"
"9","Markup",NULL,,"1","2015-03-10","0","8","0","0","0","0"
"11","Agent Commission",NULL,,"1","2015-04-23","0","8","0","0","0","0"
"12","Transfers",NULL,,"1","2017-02-06","0","10","0","0","1","0"
"13","Flight \ Ferry \ Train",NULL,,"1","2017-02-06","0","11","0","0","0","0"
"14","Shopping Outlets",NULL,"Shopping Outlets","1","2026-02-18","0","0","0","0","0","0"
