"supplier_id","supplier_code","supplier_name","contact_name","profile","supplier_address","supplier_credit_period","active_vat","add_tax","supplier_vat_reg_number","supplier_email","supplier_telephone","supplier_mobile","supplier_website","supplier_image","supplier_image1","supplier_rating_id","city_id","sub_city","latitude","longitude","deleted","created_by","created_date","update_by","update_date"
"1","SUP00001","Aditya Hotel",NULL,NULL,"Galle
","0","1","1",,," +94 91 2267 708",,"http://www.aditya-resort.com/",NULL,NULL,"8","41","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"2","SUP00002","Aida Ayurveda & Spa",NULL,NULL,,"0","0","1",,,"  +94 34 2271 137/9",,"http://www.aidaayurveda.com/",NULL,NULL,"3","55","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"3","SUP00003","Alpine Hotel",NULL,NULL,"Nuwara Eliya
","0","1","1",,,"94 52 4907 171/94 52 2223 500",,"http://alpineecotravels.com/",NULL,NULL,"3","116","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"4","SUP00004","Amangalla",NULL,NULL,"Galle
","0","1","1",,," +94 91 2233 388",,"http://www.amanresorts.com/amangalla/home.asp",NULL,NULL,"8","41","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"5","SUP00005","Sorowwa Resort & Spa",NULL,NULL,,"0","1","1",,," +94 66 2270 332-6",,"http://www.sorowwa.com/",NULL,NULL,"2","45","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"6","SUP00006","Kottukal Beach House by Jetwing",,,"Pottuvil
","0","1","1",,," +94 91 2345 700",,"http://www.jetwinghotels.com/kottukalbeachhou",,,"9","157","0","0","0","0",NULL,NULL,NULL,NULL
"7","SUP00007","La Maison Nil Manel",NULL,NULL,,"0","0","1",,," +94 91 2264 331, +94 91 2264 331",,,NULL,NULL,"8","3","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"8","SUP00008","Lady Hill",NULL,NULL,"Galle
","0","1","1",,," +94 91 2244 322","91 5450 950","http://www.ladyhillsl.com/",NULL,NULL,"3","41","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"10","SUP00009","Nyne Hotels -  Lake Lodge Colombo",,,"Colombo
","0","1","1",,," +94 11 2326 443",,"http://www.taruhotels.com/",,,"9","29","0","0","0","0",NULL,NULL,NULL,"2025-09-26"
"11","SUP00010","Amanwella",NULL,NULL,"Tangalle
","0","1","1",,," + 94 47 2241 093",,"http://www.amanresorts.com/amanwella/home.asp",NULL,NULL,"8","139","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"12","SUP00011","Lake Lodge Kandalama",,,,"0","0",NULL,,," +94 66 7429 930"," +94 66 2052 500","http://www.lakelodgekandalama.com/",,,"3","64","0","0","0","0",NULL,NULL,NULL,"2025-03-11"
"13","SUP00012","Wild Grass Nature Resort",,,,"0","1","1",,,"  +94 66 5670 680",,"http://www.wildgrass.lk/",,,"9","134","0","0","0","0",NULL,NULL,NULL,NULL
"14","SUP00013","Amaya Hills",NULL,NULL,"16 Heerassagala Peradeniya Kandy
","0","1","1",,," +94 81 4474 022/8, +94 11 4767 842/888",,"http://www.amayahills.net/",NULL,NULL,"2","66","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"15","SUP00014","Langdale Boutique Hotel by Amaya",,,"Nuwara Eliya","0","1","1",,," +94 52 4924 959",,"http://www.langdalebyamaya.com/",,,"8","116","0","0","0","0",NULL,NULL,NULL,"2024-06-26"
"16","SUP00015","Living Heritage Koslanda",NULL,NULL,,"0","0","1",,," / Fax  +94 57 2050 506",,"http://www.koslanda.com/",NULL,NULL,"8","18","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"17","SUP00016","Stardust Beach Hotel ",NULL,NULL,,"0","0","1",,," +94 63 2248 191",,"http://www.arugambay.com/",NULL,NULL,"3","11","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"18","SUP00017","Maalu Maalu",NULL,NULL,"Passikudah
","0","1","1",,,"+94 65 7 388 388",,"http://www.maalumaalu.com/",NULL,NULL,"1","118","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"19","SUP00018","Amaya Lake",,,"Dambulla
","0","1","1",,," +94 66 4461 500 , +94 66 2286 823/5",,"http://www.amayalake.com/",,,"2","30","0","0","0","0",NULL,NULL,NULL,"2025-07-16"
"20","SUP00019","Sunils Beach Hotel",NULL,NULL,,"0","0","1",,,"  +94 91 2277 186",,"http://www.sunilsbeach.com/",NULL,NULL,"3","52","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"21","SUP00020","Mahaweli Reach Hotel",NULL,NULL,"Kandy
","0","1","1",,," +94 81 2472 727"," + 94 81 4471 883/5 ","http://www.mahaweli.com/",NULL,NULL,"1","66","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"22","SUP00021","Apa Villa",NULL,NULL,"Apa Villa
","0","0","1",,," +94 91 2283 320",,"http://www.villa-srilanka.com/apathalpe/",NULL,NULL,"8","140","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"23","SUP00022","Taj Samudra Hotel",NULL,NULL,,"0","1","1",,," +94 11 2446622",,"http://www.tajhotels.com/business/taj%20samud",NULL,NULL,"1","29","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"24","SUP00023","Mandara Resort",NULL,NULL,"Mirissa
","0","1","1",,,"  +94 41 2253 993-4",,"http://www.mandararesort.com/",NULL,NULL,"2","103","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"25","SUP00024","Apa Villa Illuketia",NULL,NULL,"Galle
","0","0","1",,," +94 91 4381 411",,"http://www.villa-srilanka.com/apailluketia/",NULL,NULL,"8","41","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"26","SUP00025","Mandara Rosen Hotel",NULL,NULL,"Kataragama
","0","1","1",,,"  +94 47 2236 030 ","+94 71 6805 756","http://www.mandararosen.com/",NULL,NULL,"3","68","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"27","SUP00026","Avani Bentota",NULL,NULL,"Bentota
","0","1","1",,," +94 34 227 5248",,"http://www.avanihotels.com/avanibentota/",NULL,NULL,"2","21","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"28","SUP00027","Mas Villa",NULL,NULL,"Kandy 
","0","0","1",,,"  +94 77 7715 747",,"http://www.masvilla.com/",NULL,NULL,"8","82","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"29","SUP00028","Tamarind Lodge",NULL,NULL,,"0","1","1",,,"  94  81 2376 376 , 94 81 2376 371, 94 77 784",,"http://www.golfsrilanka.com/tamarind/",NULL,NULL,"3","66","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"30","SUP00029","Avani Kalutara",NULL,NULL,"Kalutara
","0","1","1",,," +94 34 2226537",,"http://www.avanihotels.com/avanikalutara/",NULL,NULL,"2","63","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"31","SUP00031","Ayurveda Walauwa",NULL,NULL,"Bentota
","0","0","1",,,,,"http://www.sribudhasa.com/",NULL,NULL,"2","21","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"32","SUP00032","Bandarawela Hotel",NULL,NULL,"Bandarawela
","0","1","1",,," +94 57 2222 501  ",,"http://www.aitkenspencehotels.com/bandarawela",NULL,NULL,"3","18","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"33","SUP00033","Barberyn Beach Ayurveda Resort",NULL,NULL,"Weligama
","0","0","1",,,"  +94 41 2252 994 -5",,"http://www.barberynresorts.com/english/beach/",NULL,NULL,"3","151","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"34","SUP00034","Barberyn Reef Ayurveda Resort",NULL,NULL,"Beruwela
","0","0","1",,," +94 34 2276 036",,"http://www.barberynresorts.com/english/reef/",NULL,NULL,"3","23","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"36","SUP00036","Bentota Beach Hotel",NULL,NULL,"Bentota
","0","1","1",,,,,"http://www.johnkeellshotels.com/BentotaBeachH",NULL,NULL,"3","21","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"37","SUP00037","Blue Magpie Lodge",NULL,NULL,"Sinharaja
","0","0","1",,,"  +94 45 5670 498",,"http://www.bluemagpie.lk/",NULL,NULL,"6","135","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"38","SUP00038","Boulder Garden ",NULL,NULL,"Kalawana
","0","0","1",,,"  +94 45 2255 812",,"http://www.bouldergarden.com/",NULL,NULL,"9","60","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"39","SUP00039","Brook Boutique Hotel & Spa",NULL,NULL,,"0","0","1",,," +94 66 7500 500",,"http://www.brook.lk/",NULL,NULL,"8","30","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"40","SUP00040","Buckingham Place",NULL,NULL,"Tangalle
","0","1","1",,," +94 47 3489 447, +94 78 3004 394",,"http://www.buckinghamplace.lk/",NULL,NULL,"8","139","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"41","SUP00041","C & I Beach Hotel",NULL,NULL,"Chilaw
","0","0","1",,," + 94 32 2256 455 + 94 77 0299 080",,"http://www.cibeachhotel.com/",NULL,NULL,"3","28","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"42","SUP00042","Tangerine Beach Hotel",NULL,NULL,"De Abrew Road, Wadduwa","0","1","1",,,"  +94 34 2237982/3, 2237295, 2237640",,"http://www.tangerinehotels.com/index.php?opti",NULL,NULL,"2","63","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"43","SUP00043","Taprobane Beach House",,,,"0","0","1",,,,,"http://www.thambapannileisure.com/thaproban/t",,,"9","143","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"45","SUP00044","Taprobane Island",NULL,NULL,,"0","1","1",,,"  +94  91 4380 275",,"http://www.taprobaneisland.com/taprobane.html",NULL,NULL,"8","151","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"46","SUP00046","Taprobane Pavilion",NULL,NULL,,"0","1","1",,,,,"http://www.thambapannileisure.com/thaproban_p",NULL,NULL,"9","143","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
"47","SUP00047","Camelia Resort & Spa",NULL,NULL,"Sigiriya
","0","1","1",,,"94 66 2054 100",,"http://www.camelliaresortspa.com/",NULL,NULL,"3","134","0",NULL,NULL,"0",NULL,NULL,NULL,NULL
