"supplier_service_id","supplier_service_name","supplier_service_max_pax","updated_date","updated_by","allocated_rooms","supplier_id","service_category_id","meal_plan_id","room_category_id","currency_id","is_active","ferry_type","is_show","city_from","city_to","vehicle_category_id","vehicle_id","ride_type_id","rate_type","created_by","created_date"
"1","Standard / BB",NULL,NULL,NULL,NULL,"252","2","2","1","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"2","Superior / BB",NULL,NULL,NULL,NULL,"252","2","2","6","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"3","Executive / BB",NULL,NULL,NULL,NULL,"252","2","2","7","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"4","Executive Suite / BB",NULL,NULL,NULL,NULL,"252","2","2","8","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"5","Deluxe Suite / BB",NULL,NULL,NULL,NULL,"252","2","2","9","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"6","Luxury Suite / BB",NULL,NULL,NULL,NULL,"252","2","2","10","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"7","Colonial Room / BB",NULL,NULL,NULL,NULL,"75","2","2","11","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"8","Colonial Room / HB",NULL,NULL,NULL,NULL,"75","2","3","11","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"9","Colonial Room / FB",NULL,NULL,NULL,NULL,"75","2","4","11","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"10","Colonial Room / RO",NULL,NULL,NULL,NULL,"75","2","1","11","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"11","Ocean View Room / BB",NULL,NULL,NULL,NULL,"75","2","2","12","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"12","Ocean View Room / HB",NULL,NULL,NULL,NULL,"75","2","3","12","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"13","Ocean View Room / FB",NULL,NULL,NULL,NULL,"75","2","4","12","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"14","Direct Ocean View / BB",NULL,NULL,NULL,NULL,"75","2","2","13","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"15","Direct Ocean View / HB",NULL,NULL,NULL,NULL,"75","2","3","13","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"16","Direct Ocean View / FB",NULL,NULL,NULL,NULL,"75","2","4","13","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"17","Ocean View Room / RO",NULL,NULL,NULL,NULL,"75","2","1","12","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"18","Direct Ocean View / RO",NULL,NULL,NULL,NULL,"75","2","1","13","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"19","Superior / BB",NULL,NULL,NULL,NULL,"253","2","2","6","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"20","Superior / HB",NULL,NULL,NULL,NULL,"253","2","3","6","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"21","Superior / FB",NULL,NULL,NULL,NULL,"253","2","4","6","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"22","Superior Spa Rooms / BB",NULL,NULL,NULL,NULL,"253","2","2","15","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"23","Superior Spa Rooms / HB",NULL,NULL,NULL,NULL,"253","2","3","15","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"24","Superior Spa Rooms / FB",NULL,NULL,NULL,NULL,"253","2","4","15","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"25","Deluxe / BB",NULL,NULL,NULL,NULL,"253","2","2","2","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"26","Deluxe / HB",NULL,NULL,NULL,NULL,"253","2","3","2","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"27","Deluxe / FB",NULL,NULL,NULL,NULL,"253","2","4","2","2","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"28","Deluxe / BB",NULL,NULL,NULL,NULL,"166","2","2","2","3","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"29","Deluxe / HB",NULL,NULL,NULL,NULL,"166","2","3","2","3","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
"30","Deluxe / FB",NULL,NULL,NULL,NULL,"166","2","4","2","3","1","0","1","0","0",NULL,NULL,NULL,"1","0","0000-00-00 00:00:00"
